CODE_STATION;NOM_STATION;DATE_RELEVE;EVENEMENT;COTE;COTE_UNITE;VOLUME;VOLUME_UNITE;SURFACE;SURFACE_UNITE;DEBIT_IN;DEBIT_IN_UNITE;DEBIT_OUT;DEBIT_OUT_UNITE;EVAPORATION;EVAPORATION_UNITE;PLUVIOMETRIE;PLUVIOMETRIE_UNITE
34              ;Barrage du Salagou;03/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/05/69;Mise en eau;;m NGF;;;;;;;;;;;6;mm
34              ;Barrage du Salagou;06/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/05/69;Mise en eau;123,95;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;14/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;15/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;19/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;20/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;21/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;24/05/69;Mise en eau;124,12;m NGF;;;;;;;;;;;24,3;mm
34              ;Barrage du Salagou;25/05/69;Mise en eau;;m NGF;;;;;;;;;;;7,2;mm
34              ;Barrage du Salagou;26/05/69;Mise en eau;124,38;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;31/05/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;02/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;03/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/06/69;Mise en eau;;m NGF;;;;;;;;;;;1;mm
34              ;Barrage du Salagou;11/06/69;Mise en eau;124,4;m NGF;;;;;;;;;;;5,5;mm
