COTE;SURFACE;VOLUME
138.67;687.76;99923000
138.68;688.04;99992000
138.69;688.32;100061000
138.7;688.6;100130000
138.71;688.88;100199000
138.72;689.16;100268000
138.73;689.44;100337000
138.74;689.72;100406000
138.75;690;100475000
138.76;690.28;100544000
138.77;690.56;100613000
138.78;690.84;100682000
138.79;691.12;100751000
138.8;691.4;100820000
138.81;691.68;100889000
138.82;691.96;100958000
138.83;692.24;101027000
138.84;692.52;101096000
138.85;692.8;101165000
138.86;693.08;101234000
138.87;693.36;101303000
138.88;693.64;101372000
138.89;693.92;101441000
138.9;694.2;101510000
138.91;694.48;101579000
138.92;694.76;101648000
138.93;695.04;101717000
138.94;695.32;101786000
138.95;695.6;101855000
138.96;695.88;101924000
138.97;696.16;101993000
138.98;696.44;102062000
138.99;696.72;102131000
139;697;102200000
139.01;697.28;102270000
139.02;697.56;102340000
139.03;697.84;102410000
139.04;698.12;102480000
139.05;698.4;102550000
139.06;698.68;102620000
139.07;698.96;102690000
139.08;699.24;102760000
139.09;699.52;102830000
139.1;699.8;102900000
139.11;700.08;102970000
139.12;700.36;103040000
139.13;700.64;103110000
139.14;700.92;103180000
139.15;701.2;103250000
139.16;701.48;103320000
139.17;701.76;103390000
139.18;702.04;103460000
139.19;702.32;103530000
139.2;702.6;103600000
139.21;702.88;103670000
139.22;703.16;103740000
139.23;703.44;103810000
139.24;703.72;103880000
139.25;704;103950000
139.26;704.28;104020000
139.27;704.56;104090000
139.28;704.84;104160000
139.29;705.12;104230000
139.3;705.4;104300000
139.31;705.68;104370000
139.32;705.96;104440000
139.33;706.24;104510000
139.34;706.52;104580000
139.35;706.8;104650000
139.36;707.08;104720000
139.37;707.36;104790000
139.38;707.64;104860000
139.39;707.92;104930000
139.4;708.2;105000000
139.41;708.48;105070000
139.42;708.76;105140000
139.43;709.04;105210000
139.44;709.32;105280000
139.45;709.6;105350000
139.46;709.88;105420000
139.47;710.16;105490000
139.48;710.44;105560000
139.49;710.72;105630000
139.5;711;105700000
139.51;711.28;105770000
139.52;711.56;105840000
139.53;711.84;105910000
139.54;712.12;105980000
139.55;712.4;106050000
139.56;712.68;106120000
139.57;712.96;106190000
139.58;713.24;106260000
139.59;713.52;106330000
139.6;713.8;106400000
139.61;714.08;106470000
139.62;714.36;106540000
139.63;714.64;106610000
139.64;714.92;106680000
139.65;715.2;106750000
139.66;715.48;106820000
139.67;715.76;106890000
139.68;716.04;106960000
139.69;716.32;107030000
139.7;716.6;107100000
139.71;716.88;107170000
139.72;717.16;107240000
139.73;717.44;107310000
139.74;717.72;107380000
139.75;718;107450000
139.76;718.28;107520000
139.77;718.56;107590000
